16242
PING 10.0.0.8 (10.0.0.8) 56(84) bytes of data.
64 bytes from 10.0.0.8: icmp_seq=262 ttl=64 time=2733 ms
64 bytes from 10.0.0.8: icmp_seq=263 ttl=64 time=2718 ms
64 bytes from 10.0.0.8: icmp_seq=264 ttl=64 time=2695 ms
64 bytes from 10.0.0.8: icmp_seq=265 ttl=64 time=2921 ms
64 bytes from 10.0.0.8: icmp_seq=266 ttl=64 time=2901 ms
64 bytes from 10.0.0.8: icmp_seq=267 ttl=64 time=2891 ms
64 bytes from 10.0.0.8: icmp_seq=268 ttl=64 time=2868 ms
64 bytes from 10.0.0.8: icmp_seq=269 ttl=64 time=2847 ms
64 bytes from 10.0.0.8: icmp_seq=270 ttl=64 time=2824 ms
64 bytes from 10.0.0.8: icmp_seq=271 ttl=64 time=2802 ms
64 bytes from 10.0.0.8: icmp_seq=272 ttl=64 time=2777 ms
64 bytes from 10.0.0.8: icmp_seq=273 ttl=64 time=3000 ms
64 bytes from 10.0.0.8: icmp_seq=274 ttl=64 time=2975 ms
64 bytes from 10.0.0.8: icmp_seq=275 ttl=64 time=2954 ms
64 bytes from 10.0.0.8: icmp_seq=276 ttl=64 time=2924 ms
64 bytes from 10.0.0.8: icmp_seq=277 ttl=64 time=2904 ms
64 bytes from 10.0.0.8: icmp_seq=278 ttl=64 time=2880 ms
64 bytes from 10.0.0.8: icmp_seq=279 ttl=64 time=2857 ms
64 bytes from 10.0.0.8: icmp_seq=280 ttl=64 time=3075 ms
64 bytes from 10.0.0.8: icmp_seq=281 ttl=64 time=3056 ms
64 bytes from 10.0.0.8: icmp_seq=282 ttl=64 time=3031 ms
64 bytes from 10.0.0.8: icmp_seq=283 ttl=64 time=3004 ms
64 bytes from 10.0.0.8: icmp_seq=284 ttl=64 time=2982 ms
64 bytes from 10.0.0.8: icmp_seq=285 ttl=64 time=2966 ms
64 bytes from 10.0.0.8: icmp_seq=286 ttl=64 time=2941 ms
64 bytes from 10.0.0.8: icmp_seq=287 ttl=64 time=3163 ms
64 bytes from 10.0.0.8: icmp_seq=288 ttl=64 time=3140 ms
64 bytes from 10.0.0.8: icmp_seq=289 ttl=64 time=3119 ms
64 bytes from 10.0.0.8: icmp_seq=290 ttl=64 time=3089 ms
64 bytes from 10.0.0.8: icmp_seq=291 ttl=64 time=3070 ms
64 bytes from 10.0.0.8: icmp_seq=292 ttl=64 time=3043 ms
64 bytes from 10.0.0.8: icmp_seq=293 ttl=64 time=3022 ms
64 bytes from 10.0.0.8: icmp_seq=294 ttl=64 time=2998 ms
64 bytes from 10.0.0.8: icmp_seq=295 ttl=64 time=3216 ms
64 bytes from 10.0.0.8: icmp_seq=296 ttl=64 time=3191 ms
64 bytes from 10.0.0.8: icmp_seq=297 ttl=64 time=3167 ms
64 bytes from 10.0.0.8: icmp_seq=298 ttl=64 time=3145 ms
64 bytes from 10.0.0.8: icmp_seq=299 ttl=64 time=3124 ms
64 bytes from 10.0.0.8: icmp_seq=300 ttl=64 time=3097 ms
64 bytes from 10.0.0.8: icmp_seq=301 ttl=64 time=3077 ms
64 bytes from 10.0.0.8: icmp_seq=302 ttl=64 time=3293 ms
64 bytes from 10.0.0.8: icmp_seq=303 ttl=64 time=3274 ms
64 bytes from 10.0.0.8: icmp_seq=304 ttl=64 time=3249 ms
64 bytes from 10.0.0.8: icmp_seq=305 ttl=64 time=3229 ms
